,count,mean,std,min,25%,50%,75%,max
machine_id,82805.0,-8.855505142254977e-17,1.000006038337404,-1.7014978337226963,-0.8750899257033848,-0.007361622283107921,0.8741401462708243,1.7349817171242736
instance_num,82805.0,-9.610625735780595e-17,1.000006038337404,-1.6506312558048484,-0.7840421020960507,0.08254705161274685,0.9491362053215444,1.6424075282885826
job_id,82805.0,-3.706955640943944e-17,1.000006038337404,-1.7317340682596307,-0.8615264848798524,0.006944157215734763,0.8649931516061748,1.7404115588385267
task_index,82805.0,1.0503040982674508e-16,1.000006038337404,-1.6703299259611648,-0.7970983735886487,0.07613317878386755,0.9493647311563838,1.6479499730543967
task_status,82805.0,-9.53339749326093e-17,1.000006038337404,-1.3384966764458186,-1.3384966764458186,-0.4399987047941142,0.4584992668575903,1.3569972385092948
start_time,82805.0,1.757371563114166e-16,1.0000060383374043,-1.7311993671487014,-0.8723925848611461,-0.001049075382483536,0.8717201795414422,1.7281343315415443
end_time,82805.0,2.636057344671249e-16,1.000006038337404,-1.7313925567070922,-0.8729094499709181,-2.1329379230007825e-05,0.8723423766011084,1.728957256284349
plan_cpu,82805.0,163.20572429201135,96.66492777381767,50.0,50.0,200.0,300.0,300.0
plan_mem,82805.0,6.040964748204945e-17,1.000006038337404,-1.33329441472212,-0.8213776801525658,-0.3606526190399668,0.6631808500991416,1.6870143192382505
cpu_num,82805.0,6.864732668414711e-18,1.000006038337404,-1.2614725087683087,-1.1036668617689949,-0.005700007829686536,1.017230432455433,1.453464359415303
memory_size,82805.0,-2.625760245668627e-17,1.000006038337404,-1.1942461059604526,-0.8305449847108426,-0.3377886268887904,0.7650470310938977,2.219851516092337
disk_size,82805.0,3.346557175852172e-17,1.000006038337404,-1.7210157425935688,-0.8320353777816876,0.05694498703019364,0.7681292788796986,1.6571096436915798
status,82805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure_domain_1,82805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure_domain_2,82805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
provider,82805.0,6.521496034993975e-18,1.000006038337404,-1.3607019443403472,-1.3607019443403472,-0.12570008644789102,1.109301771444565,1.109301771444565
region,82805.0,-8.237679202097653e-18,1.000006038337404,-1.6179148892517135,-0.9259422310739102,-0.003312020170172543,0.9193181907335651,1.6112908489113684
vm_type,82805.0,2.6429220773396637e-17,1.000006038337404,-1.4902074706992883,-0.7627531022503614,-0.0352987338014345,0.6921556346474924,1.4196100030964192
cpu_cores,82805.0,-1.0297099002622066e-18,1.000006038337404,-1.0311590396480645,-0.8512099478157668,-0.4913117641511711,0.22848460317802022,1.6680773378364027
memory_gb,82805.0,-1.167004553630501e-17,1.000006038337404,-0.961679122964663,-0.85845593272872,-0.23911679131306215,0.5866687305744817,2.2382397743495694
hourly_vm_cost_usd,82805.0,0.2305364434514824,0.16811666293123648,0.0354,0.0831,0.1584,0.2824,0.53
storage_cost_gb_month_usd,82805.0,0.029004601171426846,0.006083389136591521,0.018,0.024,0.029,0.034,0.04
data_transfer_cost_gb_usd,82805.0,0.10413483485296782,0.020020372567077418,0.07,0.088,0.103,0.121,0.14
network_latency_ms,82805.0,44.82252279451724,20.466561120228924,10.0,27.0,44.0,63.0,80.0
response_time_ms,82805.0,75.00583298110017,23.55835959340985,20.0,57.0,75.0,93.0,130.0
availability_percent,82805.0,99.949951452207,0.028501317779816397,99.9,99.926,99.951,99.974,99.999
resource_utilization_percent,82805.0,67.3350643077109,16.366371203816797,40.0,53.0,67.0,82.0,95.0
